id,name,nameHe,startDate,endDate,description,descriptionHe
figure-adam,Adam,אדם,1 Tishrei 1,1 Tishrei 930,Adam – lived 930 years (Genesis 5:5),אדם – חי 930 שנה (בראשית ה:ה)
figure-seth,Seth,שת,1 Tishrei 130,1 Tishrei 1042,Seth – son of Adam lived 912 years (Genesis 5:8),שת – בן אדם חי 912 שנה (בראשית ה:ח)
figure-enosh,Enosh,אנוש,1 Tishrei 235,1 Tishrei 1140,Enosh – lived 905 years (Genesis 5:11),אנוש – חי 905 שנה (בראשית ה:יא)
figure-kenan,Kenan,קינן,1 Tishrei 325,1 Tishrei 1235,Kenan – lived 910 years (Genesis 5:14),קינן – חי 910 שנה (בראשית ה:יד)
figure-mahalalel,Mahalalel,מהללאל,1 Tishrei 395,1 Tishrei 1290,Mahalalel – lived 895 years (Genesis 5:17),מהללאל – חי 895 שנה (בראשית ה:יז)
figure-yered,Yered,ירד,1 Tishrei 460,1 Tishrei 1422,Yered – lived 962 years (Genesis 5:20),ירד – חי 962 שנה (בראשית ה:כ)
figure-enoch,Enoch,חנוך,1 Tishrei 622,1 Tishrei 987,Enoch – lived 365 years (Genesis 5:23),חנוך – חי 365 שנה (בראשית ה:כג)
figure-methuselah,Methuselah,מתושלח,1 Tishrei 687,1 Tishrei 1656,Methuselah – lived 969 years (Genesis 5:27),מתושלח – חי 969 שנה (בראשית ה:כז)
figure-lamech,Lamech,למך,1 Tishrei 874,1 Tishrei 1651,Lamech – lived 777 years (Genesis 5:31),למך – חי 777 שנה (בראשית ה:לא)
figure-noah,Noah,נח,1 Tishrei 1056,1 Tishrei 2006,Noah – lived 950 years (Genesis 9:29),נח – חי 950 שנה (בראשית ט:כט)
figure-shem,Shem,שם,1 Tishrei 1558,1 Tishrei 2158,Shem – lived 600 years (Genesis 11:10-11),שם – חי 600 שנה (בראשית יא:י-יא)
figure-arpachshad,Arpachshad,ארפכשד,1 Tishrei 1658,1 Tishrei 2096,Arpachshad – lived 438 years (Genesis 11:12-13),ארפכשד – חי 438 שנה (בראשית יא:יב-יג)
figure-shelah,Shelah,שלח,1 Tishrei 1693,1 Tishrei 2126,Shelah – lived 433 years (Genesis 11:14-15),שלח – חי 433 שנה (בראשית יא:יד-טו)
figure-eber,Eber,עבר,1 Tishrei 1723,1 Tishrei 2187,Eber – lived 464 years (Genesis 11:16-17),עבר – חי 464 שנה (בראשית יא:טז-יז)
figure-peleg,Peleg,פלג,1 Tishrei 1757,1 Tishrei 1996,Peleg – lived 239 years (Genesis 11:18-19),פלג – חי 239 שנה (בראשית יא:יח-יט)
figure-reu,Reu,רעו,1 Tishrei 1787,1 Tishrei 2026,Reu – lived 239 years (Genesis 11:20-21),רעו – חי 239 שנה (בראשית יא:כ-כא)
figure-serug,Serug,שרוג,1 Tishrei 1819,1 Tishrei 2049,Serug – lived 230 years (Genesis 11:22-23),שרוג – חי 230 שנה (בראשית יא:כב-כג)
figure-nahor,Nahor,נחור,1 Tishrei 1849,1 Tishrei 1997,Nahor – lived 148 years (Genesis 11:24-25),נחור – חי 148 שנה (בראשית יא:כד-כה)
figure-terah,Terah,תרח,1 Tishrei 1878,1 Tishrei 2083,Terah – lived 205 years (Genesis 11:32),תרח – חי 205 שנה (בראשית יא:לב)
figure-abraham,Abraham,אברהם,1 Tishrei 1948,1 Tishrei 2123,Abraham – lived 175 years (Genesis 25:7),אברהם – חי 175 שנה (בראשית כה:ז)
figure-sarah,Sarah,שרה,1 Tishrei 1958,1 Tishrei 2085,Sarah – lived 127 years (Genesis 23:1),שרה – חיתה 127 שנה (בראשית כג:א)
figure-isaac,Isaac,יצחק,1 Tishrei 2048,1 Tishrei 2228,Isaac – lived 180 years (Genesis 35:28),יצחק – חי 180 שנה (בראשית לה:כח)
figure-jacob,Jacob,יעקב,1 Tishrei 2108,1 Tishrei 2255,Jacob – lived 147 years (Genesis 47:28),יעקב – חי 147 שנה (בראשית מז:כח)
figure-joseph,Joseph,יוסף,1 Tishrei 2199,1 Tishrei 2309,Joseph – lived 110 years (Genesis 50:26),יוסף – חי 110 שנה (בראשית נ:כו)
figure-moses,Moses,משה,7 Adar 2368,7 Adar 2488,Moses – lived 120 years (Deuteronomy 34:7),משה – חי 120 שנה (דברים לד:ז)
figure-aaron,Aaron,אהרן,1 Tishrei 2365,1 Av 2487,Aaron – lived 123 years (Numbers 33:39),אהרן – חי 123 שנה (במדבר לג:לט)
figure-joshua,Joshua,יהושע,1 Tishrei 2406,1 Tishrei 2516,Joshua – lived 110 years (Joshua 24:29),יהושע – חי 110 שנה (יהושע כד:כט)
figure-david,King David,דוד המלך,1 Tishrei 2854,1 Tishrei 2924,King David – lived 70 years (2 Samuel 5:4),דוד המלך – חי 70 שנה (שמואל ב ה:ד)
figure-solomon,King Solomon,שלמה המלך,1 Tishrei 2912,1 Tishrei 2964,King Solomon – reigned 40 years (1 Kings 11:42),שלמה המלך – מלך 40 שנה (מלכים א יא:מב)
